_id,Czas_Rejestracji,Liczba_Wolnych_Miejsc,Liczba_Poj_Wjezdzajacych,Liczba_Poj_Wyjezdzajacych,Nazwa
275,2018-11-29 05:40:01.790000,124,0,0,ul. św. Antoniego
276,2018-11-29 05:45:00,591,0,0,Narodowe Forum Muzyki
277,2018-11-29 05:45:00.010000,277,2,2,Nowy Targ
278,2018-11-29 05:45:01.427000,124,0,0,ul. św. Antoniego
279,2018-11-29 05:45:01.657000,792,0,0,Parking Hala Stulecia
280,2018-11-29 05:50:00,591,0,0,Narodowe Forum Muzyki
281,2018-11-29 05:50:00.020000,277,0,0,Nowy Targ
282,2018-11-29 05:50:01.143000,124,0,1,ul. św. Antoniego
283,2018-11-29 05:50:02.093000,792,0,0,Parking Hala Stulecia
284,2018-11-29 05:55:00,591,0,0,Narodowe Forum Muzyki
285,2018-11-29 05:55:00.013000,277,0,0,Nowy Targ
286,2018-11-29 05:55:01.510000,124,0,0,ul. św. Antoniego
287,2018-11-29 05:55:01.703000,792,0,0,Parking Hala Stulecia
288,2018-11-29 06:00:00,591,0,0,Narodowe Forum Muzyki
289,2018-11-29 06:00:00.013000,277,0,0,Nowy Targ
290,2018-11-29 06:00:01.867000,124,0,0,ul. św. Antoniego
291,2018-11-29 06:00:02.067000,792,0,0,Parking Hala Stulecia
292,2018-11-29 06:05:00,591,0,0,Narodowe Forum Muzyki
293,2018-11-29 06:05:00.010000,277,0,0,Nowy Targ
294,2018-11-29 06:05:01.160000,792,0,0,Parking Hala Stulecia
295,2018-11-29 06:05:01.957000,124,0,0,ul. św. Antoniego
296,2018-11-29 06:10:00,591,0,0,Narodowe Forum Muzyki
297,2018-11-29 06:10:00.013000,277,0,0,Nowy Targ
298,2018-11-29 06:10:01.227000,124,0,0,ul. św. Antoniego
299,2018-11-29 06:10:01.653000,791,2,1,Parking Hala Stulecia
300,2018-11-29 06:15:00,591,0,0,Narodowe Forum Muzyki
301,2018-11-29 06:15:00.013000,277,0,0,Nowy Targ
302,2018-11-29 06:15:01.957000,124,0,0,ul. św. Antoniego
303,2018-11-29 06:15:01.993000,791,0,0,Parking Hala Stulecia
